Category,Relation,Variant,Scale Axis,Batch Size,Network,Trace Length,Dataset Size,Merkle Depth,Aggregation T,Proof Backed,Status,Prove Time (s),Verify Time (s),Proof Size (bytes),Cycle Count,Prover Gas,Peak RSS (MB),Max RSS (MB),Prover,Measurement Host,Backend Version,SP1 Version,Git Commit,Case ID,Public Inputs SHA256,Witness Schema SHA256,Metrics Source,Notes
core,td_mvp,canonical,relation,1,tiny,,,,,True,proof_verified,60.49624495,0.124127551,2783869,434785,,,,cpu,,0.1.0,6.1.0,701a8e94dd46c50b3c161533909b16f810862290,td_mvp,631d0f013151aae0ad033591e360823b446fd84d1bf373d2c508e8a71b22c124,b6ff7a8a1396787c5b293e383ccad9db5ce05339b5e4e986a3efdb26bae0ab7b,artifacts/reports/provenance/sp1/td_mvp/metrics.json,SP1 proof-backed TD target and SmoothL1 loss over a Merkle-committed transition; not full DQN training.; peak RSS unavailable in reused compact provenance
core,merkle_membership,canonical,merkle_depth,,,,,,,True,proof_verified,50.222203246,0.122936872,2779510,116750,,,,cpu,,0.1.0,6.1.0,701a8e94dd46c50b3c161533909b16f810862290,merkle_membership,0a43b22dcfca73f64fc401123ce5ce00ea0b978134e7f79306d8bd827f6aa1ed,c44ef28f9f74d9b1440e04252379e7335f9a6affabd32c12dc553340542db262,artifacts/reports/provenance/sp1/merkle_membership/metrics.json,peak RSS unavailable in reused compact provenance
core,forward_td_mlp,canonical_tiny,network,1,tiny,,,,,True,proof_verified,89.878761437,0.126011008,2798897,1628694,,,,cpu,,0.1.0,6.1.0,701a8e94dd46c50b3c161533909b16f810862290,forward_td_mlp,ec163e97daea9b5c2d0b25208a6ba61f22e415c7dd858012a71a37902b760d57,7eb01c2852eaad7478b1262881e4c8e6b8df75b5a50e36758647f6cc85cd6e53,artifacts/reports/provenance/sp1/forward_td_mlp/metrics.json,SP1 proof-backed fixed-point Forward-TD MLP for canonical tiny vector.; peak RSS unavailable in reused compact provenance
core,one_step_sgd_tiny,canonical_tiny,network,1,tiny,,,,,True,proof_verified,71.968239471,0.124821362,2790551,928712,,,,cpu,,0.1.0,6.1.0,701a8e94dd46c50b3c161533909b16f810862290,one_step_sgd_tiny,f3d69a48bb25dd026e72c04a92f0df0618740d877312caa8539121b443e0165d,e0846fd48ee9b529350c5d8770113bd5dd4ee23d0c375b8cb17b3a5001ebefdf,artifacts/reports/provenance/sp1/one_step_sgd_tiny/metrics.json,SP1 proof-backed tiny fixed-point SGD update for canonical vector.; peak RSS unavailable in reused compact provenance
core,short_trace,canonical,trace_length,,tiny,1,,,,True,proof_verified,51.933611835,0.124154753,2779989,122067,,,,cpu,,0.1.0,6.1.0,701a8e94dd46c50b3c161533909b16f810862290,short_trace,aab726149bfde7b76428143b1d7852bec3e07c8481b508aac57e7f5535434afb,4586f79cebbf095ee848870248e47b83ade4ad12ae6f55dd39f94452d3e5ec04,artifacts/reports/provenance/sp1/short_trace/metrics.json,SP1 proof-backed tiny checkpoint-chain validation; not full DQN training.; peak RSS unavailable in reused compact provenance
core,training_update,batch1_tiny,batch_size,1,tiny,1,,,,True,proof_verified,61.491167129,0.124643438,2785799,494060,,,,cpu,,0.1.0,6.1.0,701a8e94dd46c50b3c161533909b16f810862290,training_update_batch1,68d13327e446f770ae98f0e27df3f3340e6283826b9f6555ff7c94eb375ecaeb,3b18cf644caca84f0471dba5a7ad9dc577674d468ebc555dcc7fbf4c12d433a6,artifacts/reports/provenance/sp1/training_update/metrics.json,"SP1 proof-backed one-step training update for canonical batch-size-1 tiny MLP vector; not full training, Adam, or recursive aggregation.; peak RSS unavailable in reused compact provenance"
core,training_fragment_k1,k1,trace_length,1,tiny,1,,,,True,proof_verified,1.643311762,0.127073246,2792511,979945,,,,cuda,,0.1.0,6.1.0,701a8e94dd46c50b3c161533909b16f810862290,training_fragment_k1,a319d54c71cdd4ff6e65fbed783b62444f58d3dc1b289674fd11199444aa5fe2,9bdbd86c059fa0cfa98de3e57132842bce6a5994a3d0cccaeba25546770f821c,artifacts/reports/provenance/sp1/training_fragment_k1/metrics.json,"SP1 proof-backed multi-step training fragment for a canonical tiny MLP vector; not full DQN training, Adam, all replay batches, or recursive aggregation.; peak RSS unavailable in reused compact provenance"
core,training_fragment_k4,k4,trace_length,1,tiny,4,,,,True,proof_verified,2.324603272,0.128052902,2813719,2799333,,,,cuda,,0.1.0,6.1.0,701a8e94dd46c50b3c161533909b16f810862290,training_fragment_k4,0bcae715aa254b30408da3764b7be5361f8ad8ff8759447d313bd7f5dd198e6b,9bdbd86c059fa0cfa98de3e57132842bce6a5994a3d0cccaeba25546770f821c,artifacts/reports/provenance/sp1/training_fragment_k4/metrics.json,"SP1 proof-backed multi-step training fragment for a canonical tiny MLP vector; not full DQN training, Adam, all replay batches, or recursive aggregation.; peak RSS unavailable in reused compact provenance"
core,training_fragment_k8,k8,trace_length,1,tiny,8,,,,True,proof_verified,3.810088194,0.129283375,2841071,5193244,,,,cuda,,0.1.0,6.1.0,701a8e94dd46c50b3c161533909b16f810862290,training_fragment_k8,0846d55b29e6b78c4c4605124a397feffcf7095b809d7f0a7ae2851c2ebc18e6,9bdbd86c059fa0cfa98de3e57132842bce6a5994a3d0cccaeba25546770f821c,artifacts/reports/provenance/sp1/training_fragment_k8/metrics.json,"SP1 proof-backed multi-step training fragment for a canonical tiny MLP vector; not full DQN training, Adam, all replay batches, or recursive aggregation.; peak RSS unavailable in reused compact provenance"
aggregation,training_aggregation_manifest_t32,proof_manifest_chain,aggregation_t,,tiny,,,,32,True,proof_verified,1.407443271,0.126195207,2795671,880030,,,,cuda,,0.1.0,6.1.0,701a8e94dd46c50b3c161533909b16f810862290,training_aggregation_manifest_t32,3ef2f260396adf55ebf9d9b8a90c96b68a2147b06f695ec9e4f693735c8ccf49,2f794ea156fde6317254b1f7915cf423db07e978b14f65d4e7f006b27e9c9f7f,artifacts/reports/provenance/sp1/training_aggregation_t32/metrics.json,SP1 proof-backed proof-manifest chunk-chain aggregation; child proof cryptography is not recursively verified inside SP1.; proof-manifest-chain; does not recursively verify child proofs inside SP1; peak RSS unavailable in reused compact provenance
