Tamper ID,Tamper Category,Relation / Component,Artifact / Fixture,Mutation,Expected Rejection Layer,Observed Rejection Layer,Expected Result,Observed Result,Status,Error Class,Error Message Snippet,Backend,SP1 Proof Backed,Proof Generated For Original,Tampered Proof Generated,Tampered Verify Passed,Public Input Binding Checked,Dataset Root Checked,Manifest Hash Checked,Audit Report Hash Checked,Checkpoint Hash Checked,Target Sync Checked,Runtime Seconds,Git Commit,Notes
forward_td_mlp_tamper_action_index,action,forward_td_mlp,zk_backend/test_vectors/forward_td_mlp_case_0.json,change action index,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,AssertionError,"AssertionError: leaf mismatch: actual=[18, -45, -28, -32, 0, 1000, 17, -239, -29, 252, 0] expected=[18, -45, -28, -32, 1, 1000, 17, -239, -29, 252, 0]",SP1 Forward-TD MLP,True,True,False,False,False,False,False,False,False,False,0.00014,544cd292fc3e1f7b5107cd040f04f2f6df771bc0,reused existing SP1 provenance tamper_report.json
forward_td_mlp_tamper_done,done,forward_td_mlp,zk_backend/test_vectors/forward_td_mlp_case_0.json,flip done flag,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,AssertionError,"AssertionError: leaf mismatch: actual=[18, -45, -28, -32, 0, 1000, 17, -239, -29, 252, 0] expected=[18, -45, -28, -32, 0, 1000, 17, -239, -29, 252, 1]",SP1 Forward-TD MLP,True,True,False,False,False,False,False,False,False,False,0.000142,544cd292fc3e1f7b5107cd040f04f2f6df771bc0,reused existing SP1 provenance tamper_report.json
forward_td_mlp_tamper_gamma,td_target,forward_td_mlp,zk_backend/test_vectors/forward_td_mlp_case_0.json,change TD arithmetic public claim,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,AssertionError,AssertionError: td_error_fp mismatch: actual=-995 expected=-996,SP1 Forward-TD MLP,True,True,False,False,False,False,False,False,False,False,0.000141,544cd292fc3e1f7b5107cd040f04f2f6df771bc0,reused existing SP1 provenance tamper_report.json
forward_td_mlp_tamper_loss,loss,forward_td_mlp,zk_backend/test_vectors/forward_td_mlp_case_0.json,change claimed loss,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,AssertionError,AssertionError: claimed_batch_loss_fp mismatch: actual=497 expected=496,SP1 Forward-TD MLP,True,True,False,False,False,False,False,False,False,False,0.000155,544cd292fc3e1f7b5107cd040f04f2f6df771bc0,reused existing SP1 provenance tamper_report.json
forward_td_mlp_tamper_public_input_loss,proof_public_input,forward_td_mlp,zk_backend/test_vectors/forward_td_mlp_case_0.json,change loss public input,public_input_binding,public_input_binding,reject,rejected,rejected_as_expected,AssertionError,AssertionError: claimed_batch_loss_fp mismatch: actual=497 expected=496,SP1 Forward-TD MLP,True,True,False,False,True,False,False,False,False,False,0.000201,544cd292fc3e1f7b5107cd040f04f2f6df771bc0,reused existing SP1 provenance tamper_report.json
forward_td_mlp_tamper_public_input_td_target,proof_public_input,forward_td_mlp,zk_backend/test_vectors/forward_td_mlp_case_0.json,change TD target public input,public_input_binding,public_input_binding,reject,rejected,rejected_as_expected,AssertionError,AssertionError: target_fp mismatch: actual=957 expected=956,SP1 Forward-TD MLP,True,True,False,False,True,False,False,False,False,False,0.000147,544cd292fc3e1f7b5107cd040f04f2f6df771bc0,reused existing SP1 provenance tamper_report.json
forward_td_mlp_tamper_q_online,q_value,forward_td_mlp,zk_backend/test_vectors/forward_td_mlp_case_0.json,change claimed selected online Q,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,AssertionError,AssertionError: q_online_action_fp mismatch: actual=-39 expected=-40,SP1 Forward-TD MLP,True,True,False,False,False,False,False,False,False,False,0.000199,544cd292fc3e1f7b5107cd040f04f2f6df771bc0,reused existing SP1 provenance tamper_report.json
forward_td_mlp_tamper_q_target,q_value,forward_td_mlp,zk_backend/test_vectors/forward_td_mlp_case_0.json,change claimed target-network Q,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,AssertionError,AssertionError: q_target_max_fp mismatch: actual=-44 expected=-45,SP1 Forward-TD MLP,True,True,False,False,False,False,False,False,False,False,0.000158,544cd292fc3e1f7b5107cd040f04f2f6df771bc0,reused existing SP1 provenance tamper_report.json
forward_td_mlp_tamper_reward,reward,forward_td_mlp,zk_backend/test_vectors/forward_td_mlp_case_0.json,change transition reward,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,AssertionError,"AssertionError: leaf mismatch: actual=[18, -45, -28, -32, 0, 1000, 17, -239, -29, 252, 0] expected=[18, -45, -28, -32, 0, 2000, 17, -239, -29, 252, 0]",SP1 Forward-TD MLP,True,True,False,False,False,False,False,False,False,False,0.000149,544cd292fc3e1f7b5107cd040f04f2f6df771bc0,reused existing SP1 provenance tamper_report.json
forward_td_mlp_tamper_selected_q_value,q_value,forward_td_mlp,zk_backend/test_vectors/forward_td_mlp_case_0.json,change selected Q value,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,AssertionError,AssertionError: q_online_action_fp mismatch: actual=-39 expected=-40,SP1 Forward-TD MLP,True,True,False,False,False,False,False,False,False,False,0.000165,544cd292fc3e1f7b5107cd040f04f2f6df771bc0,reused existing SP1 provenance tamper_report.json
